station	id	state	city	owner	website	station_info	subchannels	source	collection_date
WRDQ	" ""TV27"""	FL	 Orlando	 Cox Enterprises	http://www.wftv.com/s/about/tv27/	 Digital Full-Power - 182 kW	 27.1 WRDQ, 27.2 Antenna TV, 27.4 Grit	stationindex	2023-05-17 12:50:01.701573
WOFL	" ""FOX 35"""	FL	 Orlando	 Fox Television Stations	http://www.fox35orlando.com/	 Digital Full-Power - 607 kW	 35.1 WOFL/Fox	stationindex	2023-05-17 12:50:01.701573
WZXZ-CA		FL	 Orlando	 L4 Media Group		 Class-A - 23 kW		stationindex	2023-05-17 12:50:01.701573
WHDO-CA		FL	 Orlando	 Local HDTV, Inc.	http://www.whdotv38.com/	 Class-A - 79 kW	 38.1 WHDO, 38.2 Mega TV	stationindex	2023-05-17 12:50:01.701573
WACX	" ""Super Channel"""	FL	 Leesburg	 Associated Christian Television System	http://www.wacxtv.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WOTF	" ""Unimas 43"""	FL	 Melbourne	 Univision Communications		 Digital Full-Power - 1000 kW	 43.1 Unimas	stationindex	2023-05-17 12:50:01.701573
WTGL		FL	 Leesburg	 Good Life Broadcasting	http://www.tv52.org/	 Digital Educational Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WATV-LD	" ""Mira TV"""	FL	 Orlando	 TMA TIG LLC		 Digital Low-Power - 10 kW	 47.1 Mira TV, 47.2 Mi Musica, 47.3 TV Reino, 47.4 Infomercials	stationindex	2023-05-17 12:50:01.701573
WHLV		FL	 Cocoa	 Trinity Broadcasting Network		 Digital Full-Power - 1000 kW	 51.1 WHLV/TBN, 51.2 Church Channel, 51.3 JCTV, 51.4 Enlace USA, 51.5 Smile of a Child	stationindex	2023-05-17 12:50:01.701573
WOPX		FL	 Melbourne	 Ion Media Networks		 Digital Full-Power - 1000 kW	 56.1 Ion, 56.2 Qubo, 56.3 Ion Life, 56.4 Ion Shop, 56.5 QVC, 56.6 HSN	stationindex	2023-05-17 12:50:01.701573
WRBW	" ""My 65"""	FL	 Orlando	 Fox Television Stations	http://www.my65orlando.com/	 Digital Full-Power - 763 kW	 65.1 WRBW/My Network TV, 65.2 Bounce TV	stationindex	2023-05-17 12:50:01.701573
WBCC		FL	 Cocoa	 Brevard Community College		 Digital Educational Full-Power - 182 kW		stationindex	2023-05-17 12:50:01.701573
KCRA		CA	 Sacramento	 Hearst Television	http://www.kcra.com/	 Digital Full-Power - 1000 kW	 3.1 KCRA/NBC, 3.2 Me TV (Classic TV)	stationindex	2023-05-17 12:50:01.701573
KVIE		CA	 Sacramento	 KVIE, Inc.	http://www.kvie.org/	 Digital Educational Full-Power - 33 kW	 6.1 KVIE/PBS, 6.2 KVIE 2, 6.3 World Channel, 6.4 V-me	stationindex	2023-05-17 12:50:01.701573
KBTV-CD		CA	 Sacramento	 Mako Communications		 Digital Class-A - 15 kW		stationindex	2023-05-17 12:50:01.701573
KXTV	" ""ABC 10"""	CA	 Sacramento	 Tegna Media	https://www.abc10.com/	 Digital Full-Power - 34.5 kW	 10.1 KXTV/ABC, 10.2 True Crime Network, 10.3 Bounce, 10.4 Quest	stationindex	2023-05-17 12:50:01.701573
KOVR	" ""CBS 13"""	CA	 Stockton	 ViacomCBS	https://sacramento.cbslocal.com/	 Digital Full-Power - 1000 kW	 13.1 KOVR/CBS, 13.2 Start TV, 13.3 Dabl	stationindex	2023-05-17 12:50:01.701573
KMUM-CD	" ""Telemundo Sacramento"""	CA	 Sacramento	 Serestar Communications		 Digital Class-A - 15 kW		stationindex	2023-05-17 12:50:01.701573
KUVS	" ""Univision 19"""	CA	 Modesto	 Univision		 Digital Full-Power - 500 kW	 19.1 KUVS/Univision	stationindex	2023-05-17 12:50:01.701573
KBSV	" ""Assyrian  TV"""	CA	 Ceres	 Bet-Nahrain, Inc.	http://www.betnahrain.org	 Digital Educational Full-Power - 0.42 kW	 23.1 KBSV/AssyriaVision	stationindex	2023-05-17 12:50:01.701573
KEZT-CD	" ""Home Shopping Network"""	CA	 Sacramento	 Univision		 Digital Class-A - 12.2 kW	 23.1 HSN	stationindex	2023-05-17 12:50:01.701573
KKPM-CD		CA	 Chico	 One Ministries	http://kkpm.tv/	 Digital Class-A - 15 kW	 28.1 Better Life (3ABN 7th Day Adventist), 28.2 Better Life Health, 28.3 Better Life Sermons, 28.4 Better Life / 3ABN in Spanish, 28.5 God TV, 28.6 Daystar, 28.7 American Uncensored News, 28.8 North Bay TV (K49KS-D)	stationindex	2023-05-17 12:50:01.701573
KMMW-LD		CA	 Stockton	 Serestar Communications		 Digital Class-A - 15 kW		stationindex	2023-05-17 12:50:01.701573
KSPX		CA	 Sacramento	 Ion Media Networks		 Digital Full-Power - 1000 kW	 29.1 Ion, 29.2 Qubo, 29.3 Ion Life, 29.4 Ion Shop, 29.5 QVC, 29.6 HSN	stationindex	2023-05-17 12:50:01.701573
KMAX	" ""CW 31"""	CA	 Sacramento	 ViacomCBS	https://sacramento.cbslocal.com/	 Digital Full-Power - 1000 kW	 31.1 The CW, 31.2 Laff, 31.3 Comet, 31.4 Stadium, 31.5 Circle	stationindex	2023-05-17 12:50:01.701573
KSTV-LP		CA	 Sacramento	 Lazer Broadcasting		 Low-Power - 150 kW		stationindex	2023-05-17 12:50:01.701573
KCSO-LD	" ""Telemundo Sacramento"""	CA	 Sacramento	 Serestar Communications	http://www.kcso33.com/	 Digital Low-Power - 3 kW	 33.1 KCSO/Telemundo, 33.2 Unknown, 33.3 KUUS Country	stationindex	2023-05-17 12:50:01.701573
KTXL	" ""FOX 40"""	CA	 Sacramento	 Nexstar Media Group	https://fox40.com/	 Digital Full-Power - 950 kW	 40.1 KTXL/FOX, 40.2 Antenna TV, 40.3 Court TV, 40.4 TBD	stationindex	2023-05-17 12:50:01.701573
KSAO-LD	" ""MundoMax KSAO 49"""	CA	 Sacramento	 Cocola Broadcasting		 Digital Low-Power - 15 kW	 49.1 MundoMax, 49.2 My Family TV, 49.3 For Lease, 49.4 For Lease, 49.5 For Lease, 49.6 For Lease	stationindex	2023-05-17 12:50:01.701573
KQCA	" ""My 58"""	CA	 Stockton	 Hearst Television	http://www.kcra.com/my58	 Digital Full-Power - 600 kW	 58.1 KQCA/My Network TV, 58.2 This TV	stationindex	2023-05-17 12:50:01.701573
KTFK	" ""Unimas 64"""	CA	 Stockton	 Univision		 Digital Full-Power - 850 kW	 64.1 Unimas, 19.2 Univision, 64.3 GetTV, 64.4 Grit TV	stationindex	2023-05-17 12:50:01.701573
KTVI	" ""FOX 2"""	MO	 St. Louis	 Local TV LLC	http://www.fox2now.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KMOV	" ""News 4"""	MO	 St. Louis	 Tegna Media	http://www.kmov.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KSDK	" ""News Channel 5"""	MO	 St. Louis	 Tegna Media	http://www.ksdk.com/	 Digital Full-Power - 838 kW		stationindex	2023-05-17 12:50:01.701573
KETC		MO	 St. Louis	 St. Louis Regional Educational and Public Television Commission	http://www.ketc.org/	 Digital Educational Full-Power - 124.6 kW		stationindex	2023-05-17 12:50:01.701573
KPLR	" ""CW 11"""	MO	 St. Louis	 Nexstar Media Group	https://fox2now.com/kplr/	 Digital Full-Power - 1000 kW	 11.1 KPLR/CW, 11.2 Antenna TV	stationindex	2023-05-17 12:50:01.701573
KNLC		MO	 St. Louis	 New Life Evangelistic Center	http://www.knlc.tv/	 Digital Full-Power - 900 kW		stationindex	2023-05-17 12:50:01.701573
KDNL	" ""ABC 30"""	MO	 St. Louis	 Sinclair Broadcast Group	http://www.abcstlouis.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WRBU		IL	 East St. Louis	 Ion Media Networks		 Digital Full-Power - 109.4 kW	 46.1 Ion, 46.2 Qubo, 46.3 Ion Life, 46.4 Ion Shop, 46.5 QVC, 46.6 HSN	stationindex	2023-05-17 12:50:01.701573
KATU		OR	 Portland	 Sinclair Broadcast Group	http://www.katu.com/	 Digital Full-Power - 1000 kW	 2.1 KATU/ABC, 2.2 Me TV, 2.3 Grit TV	stationindex	2023-05-17 12:50:01.701573
KRCW-LP	" ""Portland's CW 32 / KRCW"""	OR	 Portland	 Nexstar Media Group	https://www.koin.com/portlands-cw/	 Digital Low-Power - 0.3 kW		stationindex	2023-05-17 12:50:01.701573
KOIN	" ""KOIN 6"""	OR	 Portland	 New Vision Television	http://koin.com/	 Digital Full-Power - 1000 kW	 6.1 KOIN/CBS	stationindex	2023-05-17 12:50:01.701573
KGW	" ""KGW 8"""	OR	 Portland	 Tegna Media	https://www.kgw.com/	 Digital Full-Power - 45 kW	 8.1 KGW/NBC, 8.2 True Crime Network, 8.3 Quest, 49.2 Court TV Mystery, 49.4 Grit	stationindex	2023-05-17 12:50:01.701573
KOPB		OR	 Portland	 Oregon Public Broadcasting	http://www.opb.org/	 Digital Educational Full-Power - 32.4 kW	 10.1 OPB HD, 10.2 OPB Plus, 10.3 OPB Radio	stationindex	2023-05-17 12:50:01.701573
KPTV	" ""FOX 12"""	OR	 Portland	 Meredith Corporation	http://www.kptv.com/	 Digital Full-Power - 24.5 kW		stationindex	2023-05-17 12:50:01.701573
KORS-CD		OR	 Salem	 WatchTV		 Digital Class-A - 15 kW	 16.1 Home Shopping Network, 16.2 Youtoo	stationindex	2023-05-17 12:50:01.701573
KWVT-LP	" ""Valley 17"""	OR	 Salem	 Northwest Television, LLC	http://www.kwvtsalem.com/	 Digital Low-Power - 35 kW		stationindex	2023-05-17 12:50:01.701573
KOXI-CD		WA	 Camas	 WatchTV		 Digital Class-A - 15 kW		stationindex	2023-05-17 12:50:01.701573
KPXG		OR	 Salem	 Ion Media Networks		 Digital Full-Power - 745 kW	 22.1 Ion, 22.2 Qubo, 22.3 Ion Life, 22.4 Ion Shop, 22.5 QVC, 22.6 HSN	stationindex	2023-05-17 12:50:01.701573
KNMT		OR	 Portland	 Trinity Broadcasting Network	http://www.tbn.org/	 Digital Full-Power - 1000 kW	 24.1 KNMT/TBN, 24.2 Church Channel, 24.3 JCTV, 24.4 Enlace USA, 24.5 Smile of a Child	stationindex	2023-05-17 12:50:01.701573
KJYY-LD		OR	 Portland	 Northwest Christian Broadcasting	http://www.ncbtv.org/	 Digital Low-Power - 15 kW	 26.1 KJYY	stationindex	2023-05-17 12:50:01.701573
KRCW	" ""Portland's CW 32"""	OR	 Salem	 Nexstar Media Group	https://www.koin.com/portlands-cw/	 Digital Full-Power - 750 kW	 32.1 KRCW/CW, 32.2 Antenna TV, 32.3 This TV	stationindex	2023-05-17 12:50:01.701573
KORK-CD		OR	 Portland	 WatchTV		 Digital Class-A - 15 kW	 35.1 Shopping	stationindex	2023-05-17 12:50:01.701573
KEVE-LD		WA	 Vancouver	 Southern Oregon Conference Association of Seventh-Day Adventists	http://www.betterlifetv.tv/	 Digital Low-Power - 15 kW	 36.1 Religious, 36.2 Coming Soon, 36.3 Coming Soon	stationindex	2023-05-17 12:50:01.701573
KJWY-LD		OR	 Salem	 Northwest Christian Broadcasting	http://www.ncbtv.org/	 Digital Low-Power - 15 kW	 36.1 KJWY	stationindex	2023-05-17 12:50:01.701573
KKEI-CD		OR	 Portland	 WatchTV		 Digital Class-A - 15 kW	 38.1 Telemundo	stationindex	2023-05-17 12:50:01.701573
KPXG-LD		OR	 Portland	 Ion Media Networks		 Digital Low-Power - 15 kW	 22.1 KPXG/ION, 22.2 Qubo, 22.3 Ion Life	stationindex	2023-05-17 12:50:01.701573
KUNP-LD	" ""Univision Portland"""	OR	 Portland	 Sinclair Broadcast Group	http://www.kunptv.com/	 Digital Low-Power - 15 kW	 47.1 Univision, 47.2 MundoMax.3 Grit TV	stationindex	2023-05-17 12:50:01.701573
KPDX	" ""PDX TV"""	WA	 Vancouver	 Meredith	http://www.kpdx.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KOXO-LD		OR	 Newberg	 WatchTV		 Digital Class-A - 15 kW	 51.1 KOXO/Unimas	stationindex	2023-05-17 12:50:01.701573
KDKA	" ""CBS 2"""	PA	 Pittsburgh	 ViacomCBS	https://pittsburgh.cbslocal.com/	 Digital Full-Power - 1000 kW	 2.1 KDKA/CBS, 2.2 Start TV, 2.3 Dabl	stationindex	2023-05-17 12:50:01.701573
WTAE		PA	 Pittsburgh	 Hearst Television	http://www.thepittsburghchannel.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WPXI		PA	 Pittsburgh	 Cox Enterprises	http://www.wpxi.com/	 Digital Full-Power - 1000 kW	 11.1 WPXI/NBC, 11.2 MeTV	stationindex	2023-05-17 12:50:01.701573
WQED		PA	 Pittsburgh	 WQED Multimedia	http://www.wqed.org/	 Digital Educational Full-Power - 25 kW		stationindex	2023-05-17 12:50:01.701573
WINP		PA	 Pittsburgh	 Ion Media Networks		 Digital Full-Power - 500 kW	 16.1 Ion, 16.2 Qubo, 16.3 Ion Life, 16.4 Ion Shop, 16.5 QVC, 16.6 HSN	stationindex	2023-05-17 12:50:01.701573
WPCW	" ""Pittsburgh's CW"""	PA	 Jeannette	 ViacomCBS	https://cwpittsburgh.cbslocal.com/	 Digital Full-Power - 30 kW	 19.1 The CW, 19.2 Heroes & Icons, 19.3 Grit, 19.4 Light TV, 19.5 Circle	stationindex	2023-05-17 12:50:01.701573
WPMY	" ""My TV Pittsburgh"""	PA	 Pittsburgh	 Sinclair Broadcast Group	http://www.wcwb22.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WPCB		PA	 Greensburg	 Cornerstone Television	http://www.ctvn.org/	 Digital Full-Power - 362 kW		stationindex	2023-05-17 12:50:01.701573
WPGH	" ""FOX 53"""	PA	 Pittsburgh	 Sinclair Broadcast Group	http://www.wpgh53.com/	 Digital Full-Power - 1,000 kW		stationindex	2023-05-17 12:50:01.701573
WBTV		NC	 Charlotte	 Raycom Media	http://www.wbtv.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WSOC		NC	 Charlotte	 Cox Enterprises	http://www.wsoctv.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WHKY		NC	 Hickory	 Long Communications	http://www.whky.com/	 Digital Full-Power - 600 kW		stationindex	2023-05-17 12:50:01.701573
WCCB	" ""WCCB Charlotte's CW"""	NC	 Charlotte	 Bahakel Communications	https://www.wccbcharlotte.com/	 Digital Full-Power - 1000 kW	 18.1 The CW, 18.2 Start TV, 18.3 MeTV, 18.4 QVC Over the Air, 18.5 Antenna TV, 18.6 Dabl, 18.7 HSN, 18.8 Cozi TV	stationindex	2023-05-17 12:50:01.701573
WNSC	" ""ETV"""	NC	 Rock HIll	 South Carolina Educational Television Commission	http://www.wnsc.org/	 Digital Educational Full-Power - 403 kW		stationindex	2023-05-17 12:50:01.701573
WCNC		NC	 Charlotte	 Tegna Media	http://www.wcnc.com/	 Digital Full-Power - 791 kW		stationindex	2023-05-17 12:50:01.701573
WTVI		NC	 Charlotte	 Mecklenburg Public Broadcasting Authority	http://www.wtvi.org/	 Digital Educational Full-Power - 2.2 kW		stationindex	2023-05-17 12:50:01.701573
WJZY	" ""FOX 46"""	NC	 Belmont	 Nexstar Media Group	https://www.fox46.com/	 Digital Full-Power - 1000 kW	 46.1 Fox, 46.3 SonLife, 46.4 Movies!, 46.5 Heroes & Icons, 46.6 Ion Television, 46.7 Light TV, 46.8 Shop LC	stationindex	2023-05-17 12:50:01.701573
WMYT	" ""My TV 12"""	SC	 Rock Hill	 Nexstar Media Group		 Digital Full-Power - 200 kW		stationindex	2023-05-17 12:50:01.701573
WUNG	" ""UNC TV"""	NC	 Concord	 University of North Carolina	http://www.unctv.org/	 Digital Educational Full-Power - 150 kW		stationindex	2023-05-17 12:50:01.701573
WAXN	" ""TV64"""	NC	 Kannapolis	 Cox Enterprises		 Digital Full-Power - 150 kW	 64.1 Independent, 64.2 GetTV, 64.3 Escape	stationindex	2023-05-17 12:50:01.701573
WTTV	" ""4 WTTV"""	IN	 Bloomington	 Nexstar Media Group	https://cbs4indy.com/	 Digital Full-Power - 1000 kW	 4.1 WTTV/CW, 4.2 This TV	stationindex	2023-05-17 12:50:01.701573
WRTV	" ""rtv 6"""	IN	 Indianapolis	 E. W. Scripps Company	https://www.wrtv.com/	 Digital Full-Power - 1000 kW	 6.1 ABC, 6.2 Grit, 6.3 Laff, 6.4 Court TV Mystery	stationindex	2023-05-17 12:50:01.701573
WISH		IN	 Indianapolis	 Circle City Broadcasting	https://www.wishtv.com/	 Digital Full-Power - 22.8 kW	 8.1 The CW, 8.2 GetTV, 8.3 True Crime Network, 8.4 Diya TV	stationindex	2023-05-17 12:50:01.701573
WTHR		IN	 Indianapolis	 Tegna	https://www.wthr.com/	 Digital Full-Power - 42.1 kW	 13.1 WTHR/NBC, 13.2 SkyTrak Weather, 13.3 Me TV	stationindex	2023-05-17 12:50:01.701573
WFYI		IN	 Indianapolis	 Metropolitan Indianapolis Public BroadcastingMetropolitan Indianapolis Public Broadcasting	https://www.wfyi.org/	 Digital Educational Full-Power - 200 kW		stationindex	2023-05-17 12:50:01.701573
WNDY	" ""My Indy TV"""	IN	 Marion	 Circle City Broadcasting	https://www.wishtv.com/myindy-tv/	 Digital Full-Power - 22.8 kW	 23.1 MyNetworkTV,  23.2 Bounce TV,  23.3 NewsNet	stationindex	2023-05-17 12:50:01.701573
WTTK	" ""4 WTTV"""	IN	 Kokomo	 Nexstar Media Group	https://cbs4indy.com/	 Digital Full-Power - 550 kW		stationindex	2023-05-17 12:50:01.701573
WTIU		IN	 Bloomington	 Indiana University	https://indianapublicmedia.org/tv/	 Digital Educational Full-Power - 224 kW		stationindex	2023-05-17 12:50:01.701573
WHMB		IN	 Indianapolis	 Family Broadcasting Corporation	https://whmbtv40.com/	 Digital Full-Power - 530 kW	 40.1 WHMB, 40.2 Light TV, 40.3 World Harvest Television	stationindex	2023-05-17 12:50:01.701573
WCLJ		IN	 Bloomington	 Ion Media Networks	https://www.tbn.org/	 Digital Full-Power - 175 kW	 42.1 Ion Plus	stationindex	2023-05-17 12:50:01.701573
WIPB		IN	 Muncie	 Ball State University	https://wipb.org/	 Digital Educational Full-Power - 250 kW	 49.1 WIPB/PBS	stationindex	2023-05-17 12:50:01.701573
WXIN	" ""FOX 59"""	IN	 Indianapolis	 Nexstar Media Group	https://fox59.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WIPX		IN	 Bloomington	 Ion Media Networks		 Digital Full-Power - 175 kW	 63.1 Ion, 63.2 Qubo, 63.4 Ion Shop, 63.5 QVC, 63.6 HSN	stationindex	2023-05-17 12:50:01.701573
WDTI		IN	 Indianapolis	 Daystar Television Network		 Digital Educational Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WMAR		MD	 Baltimore	 E. W. Scripps Company	https://www.wmar2news.com/	 Digital Full-Power - 1000 kW	 2.1 WMAR/ABC, 2.2 Laff TV	stationindex	2023-05-17 12:50:01.701573
WMDE		DE	 Seaford	 Western Pacific Broadcast		 Digital Full-Power - 10 kW	 5.1 WMDE	stationindex	2023-05-17 12:50:01.701573
WBAL		MD	 Baltimore	 Hearst Television	http://www.wbaltv.com/	 Digital Full-Power - 5 kW		stationindex	2023-05-17 12:50:01.701573
WJZ		MD	 Baltimore	 ViacomCBS	https://baltimore.cbslocal.com/	 Digital Full-Power - 30 kW	 13.1 WJZ/CBS, 13.2 Start TV, 13.3 Dabl	stationindex	2023-05-17 12:50:01.701573
WUTB	" ""24"""	MD	 Baltimore	 Deerfield Media	http://www.mytvbaltimore.com/	 Digital Full-Power - 290 kW	 24.1 WUTB/My Network TV, 24.2 Bounce TV	stationindex	2023-05-17 12:50:01.701573
WBFF	" ""FOX 45"""	MD	 Baltimore	 Sinclair Broadcast Group	http://www.foxbaltimore.com/	 Digital Full-Power - 550 kW	 45.1 WBFF/FOX, 45.2 This TV	stationindex	2023-05-17 12:50:01.701573
WNUV	" ""CW Baltimore"""	MD	 Baltimore	 Cunningham Broadcasting	http://www.cwbaltimore.com/	 Digital Full-Power - 845 kW		stationindex	2023-05-17 12:50:01.701573
WMPB	" ""MPT / WMPT"""	MD	 Baltimore	 Maryland Public Broadcasting Commission	http://www.mpt.org/	 Digital Educational Full-Power - 14 kW		stationindex	2023-05-17 12:50:01.701573
WUNC	" ""UNC TV"""	NC	 Chapel Hill	 University of North Carolina	http://www.unctv.org/	 Digital Educational Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WRAL	" ""5 WRAL"""	NC	 Raleigh	 Capitol Broadcasting	http://www.wral.com/	 Digital Full-Power - 1000 kW	 5.1 NBC, 5.2 Cozi TV	stationindex	2023-05-17 12:50:01.701573
WTVD	" ""ABC 11"""	NC	 Durham	 ABC	https://abc11.com/	 Digital Full-Power - 45 kW	 11.1 WTVD/ABC, 11.2 Localish, 11.3 Laff TV	stationindex	2023-05-17 12:50:01.701573
WNCN	" ""CBS 17"""	NC	 Goldsboro	 Nexstar Media Group	https://www.cbs17.com/	 Digital Full-Power - 291 kW	 17.1 CBS, 17.3 Grit, 17.4 Escape	stationindex	2023-05-17 12:50:01.701573
WLFL	" ""CW 22"""	NC	 Raleigh	 Sinclair Broadcast Group	http://raleighcw.com/	 Digital Full-Power - 725 kW	 22.1 The CW, 22.2 Stadium, 22.3 TBD, 22.4 Antenna TV	stationindex	2023-05-17 12:50:01.701573
WRDC	" ""My RDC"""	NC	 Durham	 Sinclair Broadcast Group	http://www.myrdctv.com/	 Digital Full-Power - 725 kW	 28.1 MyNetworkTV, 28.2 Charge!, 28.3 Comet	stationindex	2023-05-17 12:50:01.701573
WRAY		NC	 Wake Forest	 Radiant Life Ministries		 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WUVC		NC	 Fayetteville	 Univision	https://www.univision.com/north-carolina/wuvc	 Digital Full-Power - 480 kW	 40.1 Univision, 40.2 UniMas, 40.3 Bounce TV, 40.4 GetTV, 40.5 True Crime Network, 40.6 Quest	stationindex	2023-05-17 12:50:01.701573
WHFL-CD		NC	 Goldsboro			 Digital Class-A - 15 kW	 43.1 Religious, 43.2 Legacy TV, 43.3 WHFL Music (Audio)	stationindex	2023-05-17 12:50:01.701573
WRPX		NC	 Rocky Mount	 Ion Media Networks		 Digital Full-Power - 180 kW	 47.1 Ion, 47.2 Qubo, 47.3 Ion Life, 47.4 Ion Shop, 47.5 QVC, 47.6 HSN	stationindex	2023-05-17 12:50:01.701573
WRAZ	" ""FOX 50"""	NC	 Raleigh	 Capitol Broadcasting	http://www.fox50.com/	 Digital Full-Power - 1000 kW	 50.1 WRAZ/FOX, 50.2 MeTV	stationindex	2023-05-17 12:50:01.701573
WFPX		NC	 Archer Lodge	 Ion Media Networks		 Digital Full-Power - 180 kW	 62.1 Ion, 62.2 Qubo, 62.3 Ion Life, 62.4 Ion Shop, 62.5 QVC, 62.6 HSN	stationindex	2023-05-17 12:50:01.701573
XETV	" ""Televisa Canal 5"""	MX	 Tijuana	 Televisa Grupo Televisa	www.televisa.com/canal5/	 Digital Full-Power - 402 kW		stationindex	2023-05-17 12:50:01.701573
KFMB	" ""News 8"""	CA	 San Diego	 Tenga	http://www.cbs8.com/	 Digital Full-Power - 14.87 kW	 8.1 CBS/KFMB, 8.2 CW, 8.3 Grit	stationindex	2023-05-17 12:50:01.701573
KGTV	" ""10"""	CA	 San Diego	 E. W. Scripps Company	http://www.10news.com/	 Digital Full-Power - 20.7 kW	 10.1 KGTV/ABC, 10.2 KZSD-LP/Azteca America	stationindex	2023-05-17 12:50:01.701573
XEWT		MX	 Tijuana	 Televisa Grupo Televisa	http://www.xewt12.com/	 Digital Full-Power - 325 kW		stationindex	2023-05-17 12:50:01.701573
KPBS		CA	 San Diego	 San Diego State University	http://www.kpbs.org/	 Digital Educational Full-Power - 350 kW	 15.1 KPBS/PBS, 15.2 V-me	stationindex	2023-05-17 12:50:01.701573
KBNT-CD	" ""Univision San Diego"""	CA	 San Diego	 Entravision	https://noticiasya.com/san-diego/	 Digital Class-A - 11.9 kW		stationindex	2023-05-17 12:50:01.701573
KSDX-LP	" ""Estrella TV KSDX 29"""	CA	 San Diego	 Liberman Broadcasting		 Low-Power - 150 kW	 29.1 KSDX/Estrella TV	stationindex	2023-05-17 12:50:01.701573
XHAS	" ""Azteca 33 San Diego"""	MX	 Tijuana	 Televisora Alco	https://noticiasya.com/san-diego/	 Digital Full-Power - 403 kW		stationindex	2023-05-17 12:50:01.701573
KNSD	" ""NBC San Diego"""	CA	 San Diego	 NBC Universal	http://www.nbcsandiego.com/	 Digital Full-Power - 370 kW	 39.1 KNSD/NBC, 39.2 Cozi TV	stationindex	2023-05-17 12:50:01.701573
KZSD-LP	" ""MeTV San Diego"""	CA	 San Diego	 E. W. Scripps Company		 Digital Low-Power - 15 kW		stationindex	2023-05-17 12:50:01.701573
KUAN-LD	" ""Telemundo 20 San Diego"""	CA	 Poway	 NBC Universal	https://www.telemundo20.com/	 Digital Low-Power - 370 kW		stationindex	2023-05-17 12:50:01.701573
XHDTV	" ""Milenio Television"""	MX	 Tecate	 Entravision		 Digital Full-Power - 3000 kW		stationindex	2023-05-17 12:50:01.701573
KUSI	" ""KUSI 9 51"""	CA	 San Diego	 McKinnon Broadcasting	http://www.kusi.com/	 Digital Full-Power - 355 kW		stationindex	2023-05-17 12:50:01.701573
KSWB	" ""FOX 5"""	CA	 San Diego	 Nexstar Media Group	https://fox5sandiego.com/	 Digital Full-Power - 322.8 kW	 69.1 KSWB/FOX, 69.2 Antenna TV	stationindex	2023-05-17 12:50:01.701573
WKRN	" ""News 2"""	TN	 Nashville	 Nexstar Media Group	https://www.wkrn.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WSMV	" ""4 News"""	TN	 Nashville	 Meredith	http://www.wsmv.com/	 Digital Full-Power - 42.4 kW	 4.1 WSMV/NBC, 4.2 The Nashville Network (TNN)	stationindex	2023-05-17 12:50:01.701573
WTVF	" ""News Channel 5"""	TN	 Nashville	 Landmark Communications	http://www.newschannel5.com/	 Digital Full-Power - 100 kW		stationindex	2023-05-17 12:50:01.701573
WNPT		TN	 Nashville		http://www.wnpt.net/	 Digital Educational Full-Power - 316 kW		stationindex	2023-05-17 12:50:01.701573
WZTV	" ""FOX 17"""	TN	 Nashville	 Sinclair Broadcast Group	http://www.fox17.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WCTE		TN	 Cookeville		http://www.wcte.org/	 Digital Educational Full-Power - 1320 kW		stationindex	2023-05-17 12:50:01.701573
WNPX		TN	 Cookeville	 Ion Media Networks	http://www.iontelevision.com/	 Digital Full-Power - 1000 kW	 28.1 Ion, 28.2 Qubo, 28.3 Ion Life, 28.4 Ion Shop, 28.5 QVC, 28.6 HSN	stationindex	2023-05-17 12:50:01.701573
WUXP	" ""My 30"""	TN	 Nashville	 Sinclair Broadcast Group	http://www.wuxp.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WJDE-LD		TN	 Nashville	 South Central Communications		 Digital Class-A - 5.3 kW	 31.1 Home Shopping Network	stationindex	2023-05-17 12:50:01.701573
WHTN		TN	 Murfreesboro	 Christian Television Network		 Digital Full-Power - 1000 kW	 39.1 Religious/CTN	stationindex	2023-05-17 12:50:01.701573
WLLC-LP	" ""Unimas"""	TN	 Nashville	 JKB Associates		 Digital Full-Power - 150 kW	 42.1 Unimas	stationindex	2023-05-17 12:50:01.701573
