station	id	state	city	owner	website	station_info	subchannels	source	collection_date
WBUI	" ""Central Illinois' CW"""	IL	 Decatur	 Gocom Media	http://www.centralillinoiscw.com/	 Digital Full-Power - 1950 kW		stationindex	2023-05-17 12:50:01.701573
WCCU	" ""FOX WRSP/WCCU"""	IL	 Urbana		http://www.wrsptv.com/	 Digital Full-Power - 3390 kW		stationindex	2023-05-17 12:50:01.701573
WCIX	" ""WCIX49"""	IL	 Springfield	 Nexstar Media Group	https://www.wcia.com/	 Digital Full-Power - 49 kW		stationindex	2023-05-17 12:50:01.701573
WEIU		IL	 Charleston	 Eastern Illinois University	http://www.weiu.net/	 Digital Educational Full-Power - 46.8 kW		stationindex	2023-05-17 12:50:01.701573
WRSP	" ""FOX WRSP/WCCU"""	IL	 Springfield	 Bahakel	http://www.wrsptv.com/	 Digital Full-Power - 2000 kW		stationindex	2023-05-17 12:50:01.701573
KTBS		LA	 Shreveport		http://www.ktbs.com/	 Digital Full-Power - 100 kW		stationindex	2023-05-17 12:50:01.701573
KTAL	" ""News Channel 6"""	TX	 Texarkana	 Nexstar Media Group	https://www.arklatexhomepage.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KSLA	" ""News 12"""	LA	 Shreveport	 Raycom	http://www.ksla.com/	 Digital Full-Power - 316 kW		stationindex	2023-05-17 12:50:01.701573
KPXJ	" ""CW 21"""	LA	 Minden		http://www.kpxj21.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KLTS	" ""LPB"""	LA	 Shreveport	 Louisiana Educational Television	http://www.lpb.org/	 Digital Educational Full-Power - 1620 kW		stationindex	2023-05-17 12:50:01.701573
KMSS	" ""FOX 33"""	LA	 Shreveport	 Marshall Broadcasting	http://www.kmsstv.com/	 Digital Full-Power - 1000 kW	 33.1 Fox 33/KMSS	stationindex	2023-05-17 12:50:01.701573
KSHV	" ""My 45"""	LA	 Shreveport	 White Knight Broadcasting	http://www.kshv.com/	 Digital Full-Power - 2950 kW		stationindex	2023-05-17 12:50:01.701573
WISC	" ""News 3"""	WI	 Madison	 Television Wisconsin	http://www.channel3000.com/	 Digital Full-Power - 24 kW		stationindex	2023-05-17 12:50:01.701573
WMTV	" ""NBC 15"""	WI	 Madison	 Gray Television	http://www.nbc15.com/	 Digital Full-Power - 891 kW		stationindex	2023-05-17 12:50:01.701573
WHA		WI	 Madison	 University of Wisconsin	http://www.wpt.org/	 Digital Educational Full-Power - 100 kW		stationindex	2023-05-17 12:50:01.701573
WKOW		WI	 Madison	 Quincy Newspapers	http://www.wkowtv.com/	 Digital Full-Power - 171 kW		stationindex	2023-05-17 12:50:01.701573
WMSN	" ""FOX 47"""	WI	 Madison	 Sinclair Broadcast Group	http://www.fox47.com/	 Digital Full-Power - 1150 kW		stationindex	2023-05-17 12:50:01.701573
WIFS	" ""Wisconsin's 57"""	WI	 Janesville	 Byrne Acquisition Group	http://wi57.tv/	 Digital Full-Power - 1000 kW	 57.1 Ion Life, 57.2 Movies!, 57.3 Heroes & Icons, 57.4 Stadium, 57.5 QVC, 57.6 Laff TV, 57.7 Escape, 57.8 Grit, 57.9 Ion Television	stationindex	2023-05-17 12:50:01.701573
WRCB		TN	 Chattanooga	 Sarkes Tarzian	http://www.wrcbtv.com/	 Digital Full-Power - 100 kW		stationindex	2023-05-17 12:50:01.701573
WOOT-LD		TN	 Chattanooga	 Digital Networks Chattanooga (Luken Communications)		 Digital Low-Power - 6 kW	 6.1 The Nashville Network (TNN), 6.2 RTV, 6.3 PBJ, 6.4 Tuff TV, 6.5 My Car TV, 6.6 My Family TV	stationindex	2023-05-17 12:50:01.701573
WTVC	" ""News Channel 9"""	TN	 Chattanooga	 Freedom Communications	http://www.newschannel9.com/	 Digital Full-Power - 45 kW	 9.1 WTVC/ABC, 9.2 Fox Chattanooga, 9.3 Weather	stationindex	2023-05-17 12:50:01.701573
WDEF	" ""News 12"""	TN	 Chattanooga	 Nexstar Media Group	https://wdef.com/	 Digital Full-Power - 316 kW		stationindex	2023-05-17 12:50:01.701573
WCLP	" ""GPB"""	GA	 Chatsworth	 Georgia Public Telecommunications Commission	http://www.gpb.org/	 Digital Educational Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WELF		GA	 Dalton	 Trinity Broadcasting Network	http://www.tbn.org/	 Digital Full-Power - 300 kW	 23.1 WELF/TBN, 23.2 Church Channel, 23.3 JCTV, 23.4 Enlace USA, 23.5 Smile of a Child	stationindex	2023-05-17 12:50:01.701573
WTCI		TN	 Chattanooga	 Greater Chattanooga Public Television	http://www.wtci-tv45.com/	 Digital Educational Full-Power - 1550 kW		stationindex	2023-05-17 12:50:01.701573
WFLI	" ""The CW Chattanooga"""	TN	 Cleveland	 Meredith	http://www.wflitv.com/	 Digital Full-Power - 1320 kW		stationindex	2023-05-17 12:50:01.701573
WDSI		TN	 Chattanooga	 New Age Media		 Digital Full-Power - 84 kW	 61.1 WSI/This TV	stationindex	2023-05-17 12:50:01.701573
XHRIO	" ""CW15"""	MX	 Reynosa	 Entravision		 Digital Full-Power - 100 kW	 2.1 CW	stationindex	2023-05-17 12:50:01.701573
KGBT		TX	 Harlingen	 Barrington Broadcasting	http://www.kgbt4.com/	 Digital Full-Power - 100 kW		stationindex	2023-05-17 12:50:01.701573
KRGV	" ""News Channel 5"""	TX	 Weslaco		http://www.newschannel5.tv/	 Digital Full-Power - 200 kW	 5.1 KRGV/ABC, 5.2 LATV, 5.3 Retro Television Network	stationindex	2023-05-17 12:50:01.701573
XHAB	" ""Televisa Noreste"""	MX	 Matamoros		http://www.noreste.televisa.com.mx/	 Digital Full-Power - 325 kW		stationindex	2023-05-17 12:50:01.701573
XERV		MX	 Reynoso	 Televisa		 Digital Full-Power		stationindex	2023-05-17 12:50:01.701573
XHREY	" ""Azteca 13"""	MX	 Reynosa	 TV Azteca		 Digital Full-Power		stationindex	2023-05-17 12:50:01.701573
XHEW	" ""once tv"""	MX	 Matamoros	 National Polytechnic Institute		 Digital Full-Power		stationindex	2023-05-17 12:50:01.701573
XHOR	" ""Azteca 7"""	TX	 Matamoros			 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
XHTAM	" ""Televisa 2"""	MX	 Reynosa	 Televisa		 Digital Full-Power		stationindex	2023-05-17 12:50:01.701573
KVEO	" ""KVEO / News Center 23"""	TX	 Brownsville	 Nexstar Media Group	https://www.kveo.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KTFV-CD		TX	 McAllen	 Entravision		 Digital Class-A - 13 kW	 32.1 Unimas, 67.1 Fox/Fox Rio 2	stationindex	2023-05-17 12:50:01.701573
KTLM		TX	 Rio Grande City		http://www.ktlm-tv.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KLUJ		TX	 Harligen	 Community Educational Television	http://www.communityedtv.org/kluj/	 Digital Educational Full-Power - 1740 kW		stationindex	2023-05-17 12:50:01.701573
KNVO		TX	 McAllen	 Entravision		 Digital Full-Power - 3020 kW		stationindex	2023-05-17 12:50:01.701573
XHVTV	" ""Multimedios"""	MX	 Matamoros	 Grupo Multimedios		 Digital Full-Power		stationindex	2023-05-17 12:50:01.701573
KMBH		TX	 Harlingen	 RGV Educational Broadcasting	http://www.kmbh.org/	 Digital Educational Full-Power - 2240 kW	 38.1 PBS/KMBH, 38.2 v-me, 38.3 Mariavision, 38.4 EWTN	stationindex	2023-05-17 12:50:01.701573
KNWS-LP		TX	 Brownsville	 Northstar Media		 Low-Power - 26 kW		stationindex	2023-05-17 12:50:01.701573
KGAN	" ""CBS 2"""	IA	 Cedar Rapids	 Sinclair Broadcast Group	http://www.kgan.com/	 Digital Full-Power - 500 kW		stationindex	2023-05-17 12:50:01.701573
KWWL		IA	 Waterloo	 Raycom	http://www.kwwl.com/	 Digital Full-Power - 316 kW		stationindex	2023-05-17 12:50:01.701573
KCRG	" ""9 News"""	IA	 Cedar Rapids	 Cedar Rapids Television Company	http://www.kcrg.com/	 Digital Full-Power - 316 kW		stationindex	2023-05-17 12:50:01.701573
KIIN	" ""IPT"""	IA	 Iowa City	 Iowa Public Broadcasting	http://www.iptv.org/	 Digital Educational Full-Power - 316 kW		stationindex	2023-05-17 12:50:01.701573
KWKB		IA	 Iowa City	 KM Communications		 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KWWF		IA	 Waterloo			 Digital Full-Power - 70 kW		stationindex	2023-05-17 12:50:01.701573
