location	station	Affiliations	website	city	state	broadcaster	source	collection_date
Mobile, AL / Pensacola, FL	WJTC		https://www.utv44.com	Mobile	AL / Pensacola, FL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Mobile, AL / Pensacola, FL	WPMI	NBC	https://mynbc15.com/Newsletter	Mobile	AL / Pensacola, FL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Nashville, TN	WZTV	FOX	https://www.fox17.comNewsletter	Nashville	TN	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Nashville, TN	WNAB	CW	https://cwnashville.tv/	Nashville	TN	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Nashville, TN	WUXP	MyTV	https://www.mytv30web.com	Nashville	TN	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Norfolk - Portsmouth - Newport News, VA	WTVZ	MyTV	https://www.mytvz.com	Norfolk - Portsmouth - Newport News	VA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Oklahoma City, OK	KOCB	CW	https://www.cwokc.com	Oklahoma City	OK	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Oklahoma City, OK	KOKH	FOX	https://www.okcfox.comNewsletter	Oklahoma City	OK	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Omaha, NE	KPTM	FOX, MyTV, CW	https://fox42kptm.comhttps://cwomaha.tv/Newsletter	Omaha	NE	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Omaha, NE	KXVO			Omaha	NE	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Ottumwa, IA / Kirksville, MO	KTVO	ABC, CBS	https://ktvo.com/Newsletter	Ottumwa	IA / Kirksville, MO	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Peoria - Bloomington, IL	WHOI			Peoria - Bloomington	IL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Pittsburgh, PA	WPGH	FOX	https://www.wpgh53.com	Pittsburgh	PA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Pittsburgh, PA	WPNT	MyTV	https://www.22thepoint.com	Pittsburgh	PA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Portland - Auburn, ME	WGME	CBS	https://www.wgme.comNewsletter	Portland - Auburn	ME	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Portland - Auburn, ME	WPFO	FOX	https://fox23maine.com/Newsletter	Portland - Auburn	ME	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Portland, OR	KATU	ABC	https://www.katu.com/Newsletter	Portland	OR	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Portland, OR	KUNP	Univision	https://www.kunptv.com	Portland	OR	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Providence-New Bedford	WJAR	NBC	https://www.turnto10.comNewsletter	Providence-New Bedford		Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Quincy, IL / Hannibal, MO / Keokuk, IA	KHQA	CBS, ABC	https://khqa.com/Newsletter	Quincy	IL / Hannibal, MO / Keokuk, IA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Raleigh - Durham, NC	WLFL	CW	https://www.raleighcw.com	Raleigh - Durham	NC	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Raleigh - Durham, NC	WRDC	MyTV	https://www.myrdctv.com	Raleigh - Durham	NC	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Reno, NV	KNSN	MyTV	https://nevadasportsnet.com/	Reno	NV	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Reno, NV	KRXI	FOX	https://www.foxreno.comNewsletter	Reno	NV	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Reno, NV	KRNV	NBC	https://mynews4.com/Newsletter	Reno	NV	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Richmond - Petersburg, VA	WRLH	FOX, MyTV	https://www.foxrichmond.comhttps://www.mytvrichmond.com	Richmond - Petersburg	VA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Roanoke - Lynchburg, VA	WSET	ABC	https://www.wset.comNewsletter	Roanoke - Lynchburg	VA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Rochester, NY	WHAM	ABC, CW	https://www.13wham.comhttps://www.cwrochester.comNewsletter	Rochester	NY	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
