station	website	city	state	broadcaster	source	collection_date
KBVO	kbvotv.com	Austin	TX	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WSPA	wspa.com	Spartanburg	SC	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WYCW	carolinascw.com	Spartanburg	SC	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KLAS	8newsnow.com	Las Vegas	NV	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WOOD	woodtv.com	Grand Rapids	MI	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WHTM	abc27.com	Harrisburg	PA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WAVY	wavy.com	Norfolk	VA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WVBT	wavy.com	Norfolk	VA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WIAT	cbs42.com	Birmingham	AL	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KAUT	freedom43tv.com	Oklahoma City	OK	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KFOR	kfor.com	Oklahoma City	OK	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WGHP	myfox8.com	Greensboro	NC	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KRQE	krqe.com	Albuquerque	NM	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KBIM	krqe.com	Albuquerque	NM	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KREZ	krqe.com	Albuquerque	NM	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KWBQ	kwbq.com	Albuquerque	NM	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KASY	kwbq.com	Albuquerque	NM	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KRWB	kwbq.com	Albuquerque	NM	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KWBQ	kwbq.com	Albuquerque	NM	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KASY	kwbq.com	Albuquerque	NM	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KRWB	kwbq.com	Albuquerque	NM	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WGNO	wgno.com	New Orleans	LA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WNOL	https://wgno.com/tag/nola38/	New Orleans	LA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WPRI	wpri.com	Providence	RI	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WNAC	foxprovidence.com	Providence	RI	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WREG	wreg.com	Memphis	TN	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KSEE	yourcentralvalley.com	Fresno	CA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
KGPE	yourcentralvalley.com	Fresno	CA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WIVB	wivb.com	Buffalo	NY	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WNLO	cw23.com	Buffalo	NY	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WRIC	wric.com	Richmond	VA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WBRE	pahomepage.com	Wilkes-Barre / Scranton	PA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WYOU	pahomepage.com	Wilkes-Barre / Scranton	PA	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WKRG	wkrg.com	Mobile	AL	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WFNA	gulfcoastcw.com	Mobile	AL	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
WTEN	news10.com	Albany	NY	Nexstar	nexstar.tv	2023-05-17 12:50:01.701573
