title	city	state	website	broadcaster	source	collection_date
KWCH	Wichita	KS	www.kwch.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WUPV	Richmond	VA	www.nbc12.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WWBT	Richmond	VA	www.nbc12.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WDBJ	Roanoke-Lynchburg	VA	www.wdbj7.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KFVS-WQWQ-WQTV	Cape Girardeau	MO	www.kfvs12.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WVVA	Bluefield-Beckley	WV	www.wvva.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WYMT	Hazard-Lexington	KY	www.wymt.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KSPR	Springfield	MO	www.ky3.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KYTV	Springfield	MO	www.ky3.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WBKO	Bowling Green	KY	www.wbko.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WSMV	Nashville	TN	www.wsmv.com/	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KVVU	Henderson	NV	www.fox5vegas.com/	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WVLT	Knoxville	TN	www.wvlt.tv	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KAIT	Jonesboro    	 AR	www.kait8.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
RTM Studios	Nashville	TN	rtmtv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WITN	Greenville - New Bern -Washington	NC	www.witn.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KFDA-KEYU	Amarillo	TX	www.newschannel10.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
Raycom Sports	Charlotte	NC	raycomsports.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WBTV	Charlotte	NC	www.wbtv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WMC	Memphis	TN	www.wmcactionnews5.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WHNS	Greenville	SC	www.foxcarolina.com/	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WAFF	Huntsville	AL	www.waff.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KSWO	Lawton	OK	www.kswo.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WECT	Wilmington	NC	www.wect.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WIS	Columbia	SC	www.wistv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KAUZ	Wichita Falls    	 TX	www.newschannel6now.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
CORP	Atlanta	GA	gray.tv	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WANF	Atlanta	GA	atlantanewsfirst.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WMBF	Myrtle Beach-Florence	SC	www.wmbfnews.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
